;Kingdom;Phylum;Class;Order;Family;Genus
ASV_161;Bacteria;NA;NA;NA;NA;NA
ASV_162;Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;NA
ASV_163;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_164;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902
ASV_165;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_166;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;NA
ASV_167;Bacteria;Chloroflexi;TK17;NA;NA;NA
ASV_168;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_169;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_170;Bacteria;Chloroflexi;TK17;NA;NA;NA
ASV_171;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA
ASV_172;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;NA;NA;NA
ASV_173;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_174;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_175;Bacteria;Chloroflexi;TK10;NA;NA;NA
ASV_176;Bacteria;Proteobacteria;Gammaproteobacteria;EPR3968-O8a-Bc78;NA;NA
ASV_177;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_178;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_179;Bacteria;Chloroflexi;TK30;NA;NA;NA
ASV_180;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_181;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;JTB255 marine benthic group
ASV_182;Bacteria;Chloroflexi;TK10;NA;NA;NA
ASV_183;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_184;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_185;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;NA;NA
ASV_186;Bacteria;Proteobacteria;Gammaproteobacteria;EPR3968-O8a-Bc78;NA;NA
ASV_187;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_188;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_189;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_190;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_191;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum
ASV_192;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_193;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_194;Bacteria;Gemmatimonadota;PAUC43f marine benthic group;NA;NA;NA
ASV_195;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_196;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_197;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_198;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;NA;NA;NA
